,f1,f2,f3
inst_0,6.241785382528082,2.792603548243223,8.943065614302078
inst_1,8.807574641020064,2.648769937914996,6.297589129152458
inst_2,8.948032038768478,4.151152093729364,5.591576842195144
inst_3,6.356400108964912,2.3048734607813066,5.60281073928923
inst_4,5.6049056789150855,0.1300796330133034,1.8252465024609013
inst_5,3.594281176897568,1.4807533194983642,7.942741997785822
inst_6,2.7299398111969726,0.8815444479970629,11.396946306764661
inst_7,4.435559248783661,3.1012923070318856,2.725755441359629
inst_8,3.6390431886870434,3.166383884564799,3.5470192677330914
inst_9,5.93924504586418,2.0990419651217924,6.12491875062017
inst_10,3.495733469426508,5.778417276763406,6.9595083257861985
inst_11,2.355722677610249,4.233817368154783,3.3374690500869333
inst_12,5.522158987511888,0.06049481418033675,3.0154418533047087
inst_13,5.492153089672809,4.107699869993116,7.514104843569911
inst_14,4.710879294029398,2.548344456616067,2.5644340288977183
inst_15,3.2003894790132286,2.3090418435603186,10.171366678656748
inst_16,5.859045723921153,0.3554397669558993,7.972251908184385
inst_17,4.037294298959209,1.9846169995410619,8.835028866522604
inst_18,7.577498806239877,4.396920178674298,4.4823474303320845
inst_19,4.226969060371964,3.496895147105346,9.926635381367078
inst_20,3.8020644053867754,2.7215115350042742,3.6809950779819154
inst_21,2.009483439798323,4.218788733591297,11.068720085712469
inst_22,4.819974696049165,4.5052993468380365,8.084908075142902
inst_23,3.387200613487189,3.542093408262621,11.614109699397908
inst_24,4.910434902225121,5.346965483721009,-0.8592353122692327
inst_25,7.05475626093806,3.130570602357257,6.102977948602398
inst_26,5.229401941338756,0.018646628098660578,6.340984336487464
inst_27,5.892781428779366,5.216841067112274,5.445189345179058
inst_28,2.978765992767031,2.2473644346231954,9.746206353106222
inst_29,5.821877774149211,2.2053596943494416,8.539802299340067
inst_30,5.242693873370101,4.452967485799334,4.893840718367943
inst_31,4.180844633505579,2.4118377703017635,2.6094551556036443
inst_32,5.740300692661441,3.391582908269834,7.015340369927383
inst_33,4.413532166562133,0.8769438869243786,5.738064031703923
inst_34,4.143213708683076,1.7965840961675716,6.516142865001973
inst_35,6.010127142036346,5.829278851815795,7.523733438495517
inst_36,5.64387597680691,2.8883311263507494,1.2436863541028753
inst_37,4.933715311376957,3.0903453149115396,14.389726337455858
inst_38,4.5190975880471935,3.4523210135004185,6.89586469088427
inst_39,2.07830490595117,4.71423422177253,9.255799098060322
inst_40,6.977579867607617,1.6359188178078916,11.208382932808298
inst_41,1.495372343019298,3.8802856407004054,13.571366877429936
inst_42,2.523659187173279,2.150553405595842,7.298954095262924
inst_43,3.7413108647095017,0.6740048534008007,7.205688924418082
inst_44,2.344240715684738,3.710388645952772,4.24172729729859
inst_45,8.874836012543849,1.8251200614956444,6.033815451382973
inst_46,7.033793043424174,1.153703525349067,7.682379803812388
inst_47,8.26785688570607,0.5887751481581587,7.553901575596913
inst_48,5.649706985621059,4.172734307665966,3.289147867365754
inst_49,1.698858467289309,3.7829123484253464,7.890954019699558
inst_50,5.626232125864691,3.5196723142454633,4.959925835264528
inst_51,5.580634242902509,3.439608709948022,4.856945745920896
inst_52,9.664436277861892,3.7107493813676813,3.426089508392054
inst_53,6.6413840215845745,1.537977494659018,9.361253811227357
inst_54,7.89648894751851,1.7689765224724343,9.890128387732965
inst_55,6.031952317341245,4.233090239991735,12.690378947961843
inst_56,4.386529709992824,1.8693957534637655,4.33145671112343
inst_57,2.960474287586404,2.8843474358788437,8.023455924449932
inst_58,5.691726998325048,4.240774873554036,7.039005675633721
inst_59,8.633835192893292,2.603014750143066,15.160507499768856
inst_60,6.564168369412515,1.7142636653755763,3.787322505816663
inst_61,6.206181038107963,2.664805822011224,9.142001482276276
inst_62,6.183094061433862,2.890756631014691,4.459618845794785
inst_63,1.2128819382853386,2.3302275718994685,9.569196382970418
inst_64,5.53523436032551,1.131391831932018,7.519542777553546
inst_65,5.963293449322092,1.6742138456983005,7.461175317836584
inst_66,5.145521796115,1.2855445532540655,8.07336208104485
inst_67,6.401961315920586,4.624576864762916,10.161406156104709
inst_68,1.5558265801072722,1.5932624401273159,8.54510580162598
inst_69,6.284464877280522,3.772571529459072,18.558194471964164
inst_70,6.427226276732918,4.703348460270899,9.862005290479607
inst_71,6.628478128264495,2.5270961330394814,9.276907661479802
inst_72,3.0679369636560705,2.6447720898899867,5.54390935651269
inst_73,5.204685348465806,6.471987850010263,1.3982044222247563
inst_74,6.715650475936283,0.5809261932155225,5.5842044026317
inst_75,7.722376492418415,3.096420028643194,3.7667656662120814
inst_76,3.2117407268500795,4.019396623402014,4.80890010484859
inst_77,5.541146473954937,3.068357759855721,5.045198957182549
inst_78,10.359860223313314,3.9508785334770167,0.9245722400271781
inst_79,5.466135786923569,2.0073203028474182,9.557300004388672
inst_80,3.0186981539182485,2.8278953377996516,8.51496183694137
inst_81,7.164387985425304,1.1995553894163358,5.996496292477155
inst_82,3.8126367220976096,2.020006151139432,12.296362720843291
inst_83,6.012454277402389,1.1086740684974323,9.753585841164329
inst_84,10.305390492531583,4.54869789082672,2.4418901021379593
inst_85,3.7894148178343716,4.900366723779934,4.876991603143658
inst_86,6.109548570365571,4.161951080144005,4.219208585265751
inst_87,4.8511866098455,-1.861901010103609,3.9268370759971303
inst_88,4.3685796215170996,1.1283252270527258,11.897233911794906
inst_89,1.4246465550984184,2.3399332699545243,7.392221731858274
inst_90,8.603183222665288,0.8462067732308407,10.489491256464879
inst_91,5.025582652548968,1.5277370234280736,8.386310422789812
inst_92,5.4976492389336755,2.099674684261808,7.209406254970057
inst_93,4.0367160078456,3.170276017876872,8.98639202356314
inst_94,8.96504204036338,1.1432767517597264,13.3991001239688
inst_95,0.11978050119374561,2.772322357446625,8.76495161945373
inst_96,5.702479669337581,2.065950720269109,6.375633248928175
inst_97,3.767497663352918,2.115952864583683,9.548806291063073
inst_98,5.892538714912618,1.9606356071090187,9.698799626299753
inst_99,5.768248802191524,4.21929317825844,8.888886525770836
inst_100,2.9275124726948194,2.1597284397045455,9.241880815369786
inst_101,6.525925663583662,2.968647609053778,7.351982149926346
inst_102,8.194162239471062,2.112642916746255,8.641292143510114
inst_103,4.494518368915265,2.6734781951591695,10.296330555961571
inst_104,7.063540872470075,4.220264454000958,10.916436421462986
inst_105,5.052509604081898,4.022929456942446,6.069199730219632
inst_106,5.810415881221106,2.804785418448473,7.290987894978155
inst_107,6.487892563592284,1.7726689751497913,13.27716182705638
inst_108,2.484956546250745,1.1787170808184018,10.474332620500203
inst_109,6.97915673490734,3.9361797255782327,8.88503652779284
inst_110,4.969383067882713,1.6541184427712528,7.227413674581179
inst_111,3.3070957212197207,4.462679600126627,6.558827855493584
inst_112,2.936257008018721,2.51792123752051,8.238794362826873
inst_113,3.5906886179900632,1.7666694066503528,7.731061634475737
inst_114,5.612416427771807,2.2395852369433054,5.586885083145032
inst_115,5.580124843394091,0.8278734877540139,2.7776086768703347
inst_116,3.20388944686891,2.679829272432229,7.932722696794014
inst_117,8.688390542373881,4.286489434803029,6.520184410109719
inst_118,4.952459480243278,1.4962059530432867,6.94446059202283
inst_119,4.278353402699654,3.484077840507134,4.518307169343031
inst_120,6.298366285602931,5.299108369503866,6.673719554629427
inst_121,6.004279305247353,4.035215987566669,5.796338584342491
inst_122,5.560231204526042,3.018888601172692,7.293028295646495
inst_123,3.067475540361334,3.036765261388414,8.49399487373635
inst_124,8.627859019487605,4.43890623912781,13.459547372534669
inst_125,3.081631092779876,4.308480955081017,7.550026017215055
inst_126,10.47450733304418,1.787552571967273,4.480834473457672
inst_127,3.501518386389945,-0.18584358646471033,5.422734934957717
inst_128,3.102168346115755,3.2255906797143115,8.025267927331479
inst_129,9.690427098039716,4.425635757279076,5.269289033012791
inst_130,2.7539633216291053,3.7378787572597587,3.0393003789380737
inst_131,9.578646914635884,4.769160181081931,5.592473043685885
inst_132,0.717163677272806,5.0308085612481195,6.6563804642421465
inst_133,8.094540779933654,0.6083585118084494,5.201874931138681
inst_134,5.013109249295458,3.070470890647113,5.649803585562269
inst_135,6.557124830868747,1.3985693559261083,6.57286154493612
inst_136,5.300739079279747,3.7716582510881236,9.13484463426667
inst_137,2.188394770405327,0.6988287438965664,10.833030465695527
inst_138,5.830785029948979,1.8772701951651696,11.653455926567569
inst_139,5.289186585732146,4.768945776095739,7.202555444230327
inst_140,10.151869812204968,5.633011263664807,6.25310755456278
inst_141,7.428927377385889,3.9680639243777214,11.105894672597046
inst_142,2.587691348549739,4.029077189997659,10.175273460548762
inst_143,0.6031512839422142,1.2251122310013374,0.8823034667196978
inst_144,4.326482913888606,4.076313383693943,11.507071156288085
inst_145,5.185236951049438,5.442923318356938,2.859695625355326
inst_146,0.741543901612113,2.9166784516550717,8.152196346817922
inst_147,4.918263129764767,-0.10116315005981491,6.732639881461635
inst_148,1.7388262487378672,4.004508823245057,8.099794738290544
inst_149,2.650300534181612,2.2291996239949596,3.822359434333145
inst_150,4.84330225681707,4.432713480751858,4.042821860993369
inst_151,6.260116288794611,2.204613572441339,4.621381503212968
inst_152,4.732424100113605,1.4471365163709389,5.339052083958454
inst_153,2.005305268527879,5.947087699374584,7.105790655915186
inst_154,3.2506862300185357,3.320969866101333,6.66301585092751
inst_155,4.447576001166943,3.921250050065138,9.272523130141916
inst_156,3.6737471309736813,2.1362726390329803,6.174844908545068
